location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-07-08T02:00:00+09:00,2025-07-05T17:43:10.754030+09:00,17.0,,,clear,晴れ,0.0,93.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T03:00:00+09:00,2025-07-05T17:43:10.755775+09:00,17.0,,,clear,晴れ,0.0,93.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T04:00:00+09:00,2025-07-05T17:43:10.757497+09:00,17.0,,,clear,晴れ,0.0,93.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T05:00:00+09:00,2025-07-05T17:43:10.759294+09:00,17.0,,,clear,晴れ,0.0,92.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T06:00:00+09:00,2025-07-05T17:43:10.761077+09:00,18.0,,,clear,晴れ,0.0,90.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T07:00:00+09:00,2025-07-05T17:43:10.762828+09:00,20.0,,,clear,晴れ,0.0,86.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T08:00:00+09:00,2025-07-05T17:43:10.764621+09:00,21.0,,,clear,晴れ,0.0,81.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T09:00:00+09:00,2025-07-05T17:43:10.766391+09:00,23.0,,,clear,晴れ,0.0,78.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T10:00:00+09:00,2025-07-05T17:43:10.768193+09:00,23.0,,,clear,晴れ,0.0,75.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T11:00:00+09:00,2025-07-05T17:43:10.769940+09:00,24.0,,,clear,晴れ,0.0,73.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
